"model","repeat_id","fold_id","n_test","mae","rmse","rmsle","r2","mape","prediksi_negatif_sebelum_batas"
"spline_log",5,7,90,5601777827.72896,15083936331.0159,0.387380797236513,0.482967666100086,28.6596774088493,0
"random_forest_log",5,7,90,5829838907.8684,14735453219.0717,0.408375554855044,0.506581625232609,31.0680796079392,0
"linear_raw",5,8,90,4284299984.69498,6188433316.25476,3.00117776266105,0.799698614062976,36.1460349801401,2
"linear_log",5,8,90,4160428352.18844,6519514321.07066,0.352158108218641,0.777693065237927,31.9353668406543,0
"spline_log",5,8,90,3777571386.41162,5412228401.06438,0.353039172035627,0.84679435939665,31.5890045331727,0
"random_forest_log",5,8,90,3402947886.5811,4888462140.83069,0.330309540176598,0.87501236933496,29.1972618161078,0
"linear_raw",5,9,90,7257685738.73098,12711949954.208,0.503022126068506,0.356969182299651,47.4481124920153,0
"linear_log",5,9,90,6782615452.77363,11677442749.2304,0.462956047717154,0.457371085353938,43.768720564225,0
"spline_log",5,9,90,6752161559.65478,11443455440.594,0.462243407593095,0.478899122885696,43.8405463120997,0
"random_forest_log",5,9,90,6023080560.34531,12090849143.7012,0.461395649036135,0.41827055927644,43.4263135848148,0
"linear_raw",5,10,90,6986195743.30085,14557883549.4216,0.493706248963178,0.529639575196738,43.0235063773731,0
"linear_log",5,10,90,6226691723.08917,13135019962.2256,0.418359786779014,0.61709083086562,36.2881172529919,0
"spline_log",5,10,90,6364159414.41609,13630150467.7608,0.421596379070581,0.587678869323368,36.2097198001069,0
"random_forest_log",5,10,90,5716679637.78168,13601278449.5265,0.39327271398274,0.589423814817998,32.7548161832104,0
